reSASC,SASC,Measure
0.957132113311607,0.9459734964322121,Different Lineages
0.9632505175983437,0.9605604566683964,Different Lineages
0.9264705882352942,0.9264705882352942,Different Lineages
0.9595489090463348,0.9541646131099064,Different Lineages
0.9588071771544099,0.9624779652480484,Different Lineages
0.9375816139984331,0.940625,Different Lineages
0.963318998229193,0.9604261796042618,Different Lineages
0.9486373165618449,0.950836820083682,Different Lineages
0.9467933491686461,0.9513590844062947,Different Lineages
0.937007874015748,0.9373525557011796,Different Lineages
0.9603220241518113,0.9603220241518113,Different Lineages
0.9482301950397304,0.9515545914678236,Different Lineages
0.9519184069936864,0.9571183533447685,Different Lineages
0.9596273291925466,0.9574688796680498,Different Lineages
0.9589858314690529,0.9296128707893414,Different Lineages
0.9279329608938548,0.9356270810210876,Different Lineages
0.9655004859086492,0.9630529897909577,Different Lineages
0.9397078353253652,0.9349049022234127,Different Lineages
0.9523809523809524,0.9485930735930735,Different Lineages
0.9436186570989237,0.935708752904725,Different Lineages
0.9200983405039951,0.9161976235146968,Different Lineages
0.9643547941420282,0.9577308120133482,Different Lineages
0.9504901960784314,0.9442800788954634,Different Lineages
0.9495114006514659,0.9404825737265415,Different Lineages
0.9467037130588533,0.9606854838709677,Different Lineages
0.9405377456049638,0.9485920950658744,Different Lineages
0.9608886831751909,0.9594438006952491,Different Lineages
0.9647058823529412,0.9647058823529412,Different Lineages
0.9571072319201995,0.9581464872944694,Different Lineages
0.9531891595948535,0.9481276005547851,Different Lineages
0.9336085311317509,0.934984520123839,Different Lineages
0.9588263132986276,0.960379596678529,Different Lineages
0.9488272921108742,0.9335451416468097,Different Lineages
0.9557774607703282,0.9515165989968951,Different Lineages
0.9522029372496662,0.9481043291207313,Different Lineages
0.9459745762711864,0.9590799679058573,Different Lineages
0.9695969832665567,0.9627520759193356,Different Lineages
0.9391076115485565,0.9360669004585918,Different Lineages
0.9464052287581699,0.9359243697478993,Different Lineages
0.9592108770994402,0.9414634146341463,Different Lineages
0.940029542097489,0.9378733572281959,Different Lineages
0.951041928194828,0.9452158545821762,Different Lineages
0.9514360313315927,0.9509138381201044,Different Lineages
0.9482758620689655,0.9394279304542905,Different Lineages
0.9624060150375939,0.9545565006075335,Different Lineages
0.9188084112149533,0.9117468046256847,Different Lineages
0.9666495638789122,0.9636828644501279,Different Lineages
0.9628474928552871,0.9582463465553236,Different Lineages
0.9536423841059604,0.9477611940298508,Different Lineages
0.9316604378003204,0.9397078353253651,Different Lineages
